lga_code20,lga_name20,lga_type20,area_sqkm,latitude,longitude
<<<<<<< HEAD
33980,Isaac,R,58707.9174,-22.23810156,147.8918517
34420,Kowanyama,S,2555.3325,-15.31952785,141.8105636
34530,Livingstone,S,11757.8683,-22.79598426,150.1934744
34570,Lockhart River,S,3575.4992,-13.00541689,143.2402607
34580,Lockyer Valley,R,2269.0053,-27.64272986,152.2405522
34590,Logan,C,958.1322,-27.76239609,153.040207
34710,Longreach,R,40572.2443,-23.71813391,143.9593191
34770,Mackay,R,7613.2964,-21.13909186,148.804243
34800,McKinlay,S,40736.7989,-20.53399759,141.5869643
34830,Mapoon,S,537.1003,-12.14176175,141.9198042
34860,Maranoa,R,58719.3446,-26.54428382,148.2876922
34880,Mareeba,S,53491.05,-16.98473715,143.9551715
35010,Moreton Bay,R,2041.4746,-27.11799306,152.8831201
35250,Mornington,S,1247.6932,-16.63183326,139.401312
35300,Mount Isa,C,43713.0221,-19.95391499,138.7822624
35600,Murweh,S,40699.7585,-26.18967957,146.4894762
35670,Napranum,S,2004.3545,-12.51576777,142.1124382
35740,Noosa,S,869.8657,-26.32485421,152.945576
35760,North Burnett,R,19669.8489,-25.35528358,151.2041668
35780,Northern Peninsula Area,R,1052.0676,-11.00491619,142.3128902
35790,Palm Island,S,71.9928,-18.73136093,146.6002524
35800,Paroo,S,47612.8774,-28.0729194,145.7712821
36070,Pormpuraaw,S,4395.3657,-14.71940668,141.8073975
36150,Quilpie,S,67414.6563,-26.34882992,143.8934384
36250,Redland,C,537.167,-27.56859849,153.3608429
36300,Richmond,S,26580.7478,-20.54065546,142.9010569
36370,Rockhampton,R,6570.2667,-23.44114359,150.2184207
36510,Scenic Rim,R,4242.7432,-28.0623254,152.796189
36580,Somerset,R,5373.4337,-27.0089366,152.4252133
36630,South Burnett,R,8381.558,-26.40522084,151.6469256
36660,Southern Downs,R,7107.816,-28.40552515,151.8858125
36720,Sunshine Coast,R,2253.8526,-26.69618141,152.8983519
36820,Tablelands,R,11292.8698,-17.93079274,145.3305341
36910,Toowoomba,R,12957.2108,-27.58199231,151.5338929
36950,Torres,S,883.731,-10.73116317,142.4122781
36960,Torres Strait Island,R,490.031,-9.859117374,142.3655714
37010,Townsville,C,3730.82,-19.39083311,146.7116699
37300,Weipa,T,10.8218,-12.64044586,141.8789038
37310,Western Downs,R,37922.5008,-26.84177589,150.3476557
37340,Whitsunday,R,23818.8922,-20.70094104,147.7246964
37400,Winton,S,53813.4826,-22.53914476,142.4244978
37550,Woorabinda,S,390.5578,-23.94395142,149.5255455
37570,Wujal Wujal,S,11.842,-15.96830325,145.3131922
37600,Yarrabah,S,158.8381,-16.99453947,145.8971595
39499,No usual address (Qld),,0,0,0
39799,Migratory - Offshore - Shipping (Qld),,0,0,0
40070,Adelaide,C,15.5733,-34.92198297,138.5989126
40120,Adelaide Hills,DC,794.4957,-34.89282375,138.8362292
40150,Adelaide Plains,DC,932.4913,-34.48062208,138.454677
40220,Alexandrina,DC,1826.8066,-35.35191397,138.878352
40250,Anangu Pitjantjatjara,AC,102353.0512,-27.07764262,131.205581
40310,Barossa,DC,893.5424,-34.62106437,139.0016824
40430,Barunga West,DC,1590.3887,-33.79896708,137.9563366
40520,Berri and Barmera,DC,476.1962,-34.26585441,140.4889057
40700,Burnside,C,27.5183,-34.93997636,138.6598672
40910,Campbelltown (SA),C,24.3486,-34.88372581,138.6822336
41010,Ceduna,DC,5420.3436,-32.1021117,133.8724203
41060,Charles Sturt,C,54.7876,-34.8903651,138.5236111
41140,Clare and Gilbert Valleys,DC,1892.4466,-34.00397013,138.7359695
41190,Cleve,DC,5018.8484,-33.65030968,136.2847504
41330,Coober Pedy,DC,77.6795,-29.01585855,134.7523529
41560,Copper Coast,DC,772.9149,-33.98339271,137.7289584
41750,Elliston,DC,6741.9317,-33.56155315,135.3446074
41830,Flinders Ranges,DC,4070.4827,-32.07562393,138.3011907
41960,Franklin Harbour,DC,2755.564,-33.53430316,136.9644078
42030,Gawler,T,41.1379,-34.62212681,138.729882
42110,Goyder,DC,6715.1418,-33.64597118,139.0740752
42250,Grant,DC,1898.0143,-37.84610371,140.7247687
42600,Holdfast Bay,C,13.752,-35.00114401,138.52131
42750,Kangaroo Island,DC,4400.8558,-35.82781953,137.2397688
43080,Karoonda East Murray,DC,4415.7959,-34.95050499,140.0200949
43220,Kimba,DC,5697.1076,-33.00269332,136.1437993
43360,Kingston (SA),DC,3339.7952,-36.64351575,140.0255096
43650,Light (RegC),,1276.8453,-34.41110559,138.8464943
43710,Lower Eyre Peninsula,DC,4721.2875,-34.41245493,135.597083
43790,Loxton Waikerie,DC,7763.9231,-34.50822872,140.3516249
44000,Maralinga Tjarutja,AC,102703.899,-29.32921714,130.9386591
44060,Marion,C,55.6407,-35.03248303,138.5396963
44210,Mid Murray,DC,6271.6254,-34.4502208,139.461387
44340,Mitcham,C,75.5468,-35.00387567,138.6217501
44550,Mount Barker,DC,594.6405,-35.08580933,138.8750044
44620,Mount Gambier,C,33.8938,-37.82534522,140.7816824
44830,Mount Remarkable,DC,3422.7733,-32.75828444,138.2051128
45040,Murray Bridge,RC,1831.7597,-35.15931858,139.301783
45090,Naracoorte and Lucindale,DC,4520.127,-36.97725532,140.5473539
45120,Northern Areas,DC,2986.1818,-33.28640907,138.5114197
45290,Norwood Payneham St Peters,C,15.1036,-34.90757386,138.6364496
45340,Onkaparinga,C,518.1251,-35.17868805,138.5688526
45400,Orroroo/Carrieton,DC,3321.8238,-32.52076899,138.6393538
45540,Peterborough,DC,3020.142,-32.86412252,139.0596411
45680,Playford,C,345.203,-34.68888928,138.6629666
45890,Port Adelaide Enfield,C,91.7586,-34.84071201,138.5615077
46090,Port Augusta,C,1195.5836,-32.59564699,137.7551665
46300,Port Lincoln,C,30.3681,-34.72922121,135.8511284
46450,Port Pirie City and Dists,M,1760.7097,-33.37684232,138.1059323
46510,Prospect,C,7.7915,-34.88399707,138.5979358
46670,Renmark Paringa,DC,915.8655,-34.18235452,140.8140211
46860,Robe,DC,1091.7162,-37.1876842,139.9794424
46970,Roxby Downs,M,110.4762,-30.55438582,136.8811786
47140,Salisbury,C,159.8432,-34.77265898,138.6112993
47290,Southern Mallee,DC,5702.2095,-35.39392082,140.5743521
47490,Streaky Bay,DC,6222.8591,-32.70891704,134.5640285
47630,Tatiara,DC,6527.2084,-36.22791994,140.5844406
47700,Tea Tree Gully,C,95.2108,-34.8051616,138.7180409
47800,The Coorong,DC,8833.434,-35.71380822,139.7613115
47910,Tumby Bay,DC,2669.0747,-34.17933413,136.0196972
47980,Unley,C,14.2703,-34.9547972,138.6040323
48050,Victor Harbor,C,384.6255,-35.51278989,138.5461615
48130,Wakefield,DC,3468.4881,-33.99144534,138.356505
48260,Walkerville,M,3.53,-34.89278583,138.6171095
48340,Wattle Range,DC,3926.3233,-37.47040532,140.5188768
48410,West Torrens,C,37.04,-34.94140638,138.5438613
48540,Whyalla,C,1071.3398,-33.03731913,137.4943369
48640,Wudinna,DC,5075.2783,-33.02866409,135.3146384
48750,Yankalilla,DC,751.2577,-35.51859227,138.3370932
48830,Yorke Peninsula,DC,5899.6079,-34.68371184,137.5599406
49399,Unincorporated SA,,622489.4848,-29.590227,136.7496136
49499,No usual address (SA),,0,0,0
49799,Migratory - Offshore - Shipping (SA),,0,0,0
50080,Albany,C,4310.8905,-34.73895437,118.1830048
50210,Armadale,C,559.5261,-32.16753197,116.1369781
50250,Ashburton,S,100818.2074,-22.49363911,116.7262343
50280,Augusta-Margaret River,S,2122.3749,-34.03087723,115.2277905
50350,Bassendean,T,10.3449,-31.90384753,115.9452211
50420,Bayswater,C,34.6168,-31.90378892,115.907817
50490,Belmont,C,39.8246,-31.95623366,115.9483178
50560,Beverley,S,2370.5195,-32.17466449,116.7965793
50630,Boddington,S,1904.4791,-32.8162963,116.3998901
50770,Boyup Brook,S,2826.4586,-33.89176767,116.5240302
